time_s,pos_x_m,pos_y_m,pos_z_m,pitch_rad,cg_body_x_m,cg_body_y_m,cg_body_z_m,nozzle_angle_rad
1.04,5.252627,0,9.130409,1.22173,5.535128,0,0,-0.0006676333
1.05,5.354239,0,9.307344,1.22173,5.535195,0,0,-0.0006805413
1.06,5.456825,0,9.485987,1.22173,5.535263,0,0,-0.0006935726
1.07,5.560387,0,9.666337,1.22173,5.53533,0,0,-0.000706727
1.08,5.664924,0,9.848396,1.22173,5.535398,0,0,-0.0007200042
1.09,5.770435,0,10.03216,1.22173,5.535465,0,0,-0.0007334046
1.1,5.876922,0,10.21764,1.22173,5.535532,0,0,-0.0007469277
1.11,5.984384,0,10.40483,1.22173,5.5356,0,0,-0.000760574
1.12,6.09282,0,10.59372,1.22173,5.535667,0,0,-0.0007743429
1.13,6.202232,0,10.78432,1.22173,5.535735,0,0,-0.0007882348
1.14,6.312619,0,10.97664,1.22173,5.535802,0,0,-0.0008022494
1.15,6.423982,0,11.17066,1.22173,5.53587,0,0,-0.0008163867
1.16,6.536319,0,11.3664,1.22173,5.535937,0,0,-0.0008306469
1.17,6.649632,0,11.56385,1.22173,5.536005,0,0,-0.0008450296
1.18,6.763919,0,11.763,1.22173,5.536072,0,0,-0.0008595349
1.19,6.879182,0,11.96387,1.22173,5.536139,0,0,-0.0008741629
1.2,6.99542,0,12.16645,1.22173,5.536206,0,0,-0.0008889134
1.21,7.112634,0,12.37074,1.221729,5.536274,0,0,-0.0009037866
1.22,7.230823,0,12.57675,1.221729,5.536341,0,0,-0.0009187821
1.23,7.349987,0,12.78446,1.221729,5.536408,0,0,-0.0009339
1.24,7.470126,0,12.99389,1.221729,5.536476,0,0,-0.0009491403
1.25,7.59124,0,13.20504,1.221729,5.536543,0,0,-0.0009645029
1.26,7.71333,0,13.41789,1.221729,5.53661,0,0,-0.0009799878
1.27,7.836395,0,13.63246,1.221729,5.536677,0,0,-0.000995595
1.28,7.960436,0,13.84875,1.221729,5.536745,0,0,-0.001011324
1.29,8.085451,0,14.06674,1.221729,5.536812,0,0,-0.001027176
1.3,8.211443,0,14.28646,1.221729,5.536879,0,0,-0.001043149
1.31,8.338409,0,14.50788,1.221729,5.536946,0,0,-0.001059245
1.32,8.466351,0,14.73102,1.221729,5.537013,0,0,-0.001075462
1.33,8.595268,0,14.95588,1.221729,5.53708,0,0,-0.001091802
1.34,8.725161,0,15.18245,1.221729,5.537147,0,0,-0.001108263
1.35,8.856029,0,15.41074,1.221729,5.537214,0,0,-0.001124847
1.36,8.987871,0,15.64075,1.221729,5.537282,0,0,-0.001141552
1.37,9.12069,0,15.87247,1.221729,5.537348,0,0,-0.001158378
1.38,9.254484,0,16.1059,1.221729,5.537416,0,0,-0.001175327
1.39,9.389254,0,16.34106,1.221729,5.537482,0,0,-0.001192397
1.4,9.524999,0,16.57793,1.221729,5.537549,0,0,-0.001209588
1.41,9.661718,0,16.81652,1.221729,5.537616,0,0,-0.001226901
1.42,9.799414,0,17.05683,1.221729,5.537683,0,0,-0.001244336
1.43,9.938085,0,17.29885,1.221729,5.53775,0,0,-0.001261892
1.44,10.07773,0,17.5426,1.221729,5.537817,0,0,-0.001279569
1.45,10.21835,0,17.78806,1.221729,5.537884,0,0,-0.001297368
1.46,10.35995,0,18.03524,1.221729,5.537951,0,0,-0.001315287
1.47,10.50252,0,18.28414,1.221729,5.538018,0,0,-0.001333328
1.48,10.64607,0,18.53476,1.221729,5.538085,0,0,-0.00135149
1.49,10.79059,0,18.7871,1.221729,5.538152,0,0,-0.001369773
1.5,10.93609,0,19.04116,1.221729,5.538218,0,0,-0.001388177
1.51,11.08256,0,19.29694,1.221729,5.538285,0,0,-0.001406701
1.52,11.23001,0,19.55444,1.221729,5.538352,0,0,-0.001425347
1.53,11.37844,0,19.81366,1.221729,5.538419,0,0,-0.001444113
1.54,11.52784,0,20.07461,1.221729,5.538486,0,0,-0.001463
1.55,11.67821,0,20.33727,1.221729,5.538552,0,0,-0.001482008
1.56,11.82956,0,20.60166,1.221729,5.538619,0,0,-0.001501136
1.57,11.98189,0,20.86777,1.221729,5.538686,0,0,-0.001520385
1.58,12.13519,0,21.1356,1.221729,5.538753,0,0,-0.001539754
1.59,12.28946,0,21.40515,1.221729,5.538819,0,0,-0.001559244
1.6,12.44471,0,21.67643,1.221729,5.538886,0,0,-0.001578854
1.61,12.60094,0,21.94942,1.221729,5.538953,0,0,-0.001598584
1.62,12.75814,0,22.22415,1.221729,5.539019,0,0,-0.001618434
1.63,12.91632,0,22.50059,1.221729,5.539086,0,0,-0.001638404
1.64,13.07547,0,22.77876,1.221729,5.539153,0,0,-0.001658494
