time_s,pos_x_m,pos_y_m,pos_z_m,pitch_rad,cg_body_x_m,cg_body_y_m,cg_body_z_m,nozzle_angle_rad,thrust_normalized
1.7034,0.6544372,0,27.04591,1.427202,5.539575,0,0,0.0002166425,1
1.7201,0.6885992,0,27.57999,1.425168,5.539685,0,0,0.0002394555,1
1.7368,0.7239354,0,28.11929,1.423165,5.539796,0,0,0.0002623353,0.9999999
1.7535,0.7604622,0,28.66379,1.421194,5.539907,0,0,0.000285276,0.9999999
1.7702,0.7981958,0,29.21351,1.419253,5.540019,0,0,0.0003082689,0.9999999
1.7869,0.8371525,0,29.76843,1.417341,5.540129,0,0,0.0003313055,0.9999999
1.8036,0.8773477,0,30.32857,1.415459,5.54024,0,0,0.0003543797,0.9999999
1.8203,0.9187971,0,30.89391,1.413607,5.54035,0,0,0.0003774838,0.9999999
1.837,0.9615161,0,31.46446,1.411782,5.540461,0,0,0.0004006088,0.9999999
1.8537,1.00552,0,32.04022,1.409986,5.540572,0,0,0.0004237492,0.9999999
1.8704,1.050822,0,32.62119,1.408218,5.540683,0,0,0.0004468979,0.9999999
1.8871,1.09744,0,33.20736,1.406476,5.540793,0,0,0.0004700455,0.9999999
1.9038,1.145385,0,33.79873,1.404762,5.540904,0,0,0.000493188,0.9999999
1.9205,1.194673,0,34.39531,1.403074,5.541014,0,0,0.0005163171,0.9999999
1.9372,1.245318,0,34.99709,1.401412,5.541125,0,0,0.0005394252,0.9999999
1.9539,1.297333,0,35.60406,1.399776,5.541235,0,0,0.0005625074,0.9999998
1.9706,1.350733,0,36.21625,1.398165,5.541345,0,0,0.0005855565,0.9999998
1.9873,1.40553,0,36.83363,1.396579,5.541456,0,0,0.000608565,0.9999998
2.004,1.461737,0,37.45621,1.395017,5.541566,0,0,0.0006315279,0.9999998
2.0207,1.519369,0,38.084,1.39348,5.541676,0,0,0.0006544387,0.9999998
2.0374,1.578436,0,38.71698,1.391966,5.541787,0,0,0.0006772897,0.9999998
2.0541,1.638953,0,39.35515,1.390475,5.541896,0,0,0.0007000772,0.9999998
2.0708,1.700932,0,39.99853,1.389008,5.542006,0,0,0.0007227936,0.9999998
2.0875,1.764384,0,40.6471,1.387563,5.542117,0,0,0.0007454328,0.9999997
2.1042,1.829322,0,41.30087,1.38614,5.542227,0,0,0.0007679904,0.9999997
2.1209,1.895758,0,41.95983,1.384739,5.542336,0,0,0.0007904596,0.9999997
2.1376,1.963704,0,42.62399,1.38336,5.542447,0,0,0.0008128346,0.9999996
2.1543,2.033171,0,43.29333,1.382002,5.542556,0,0,0.0008351107,0.9999996
