time_s,pos_x_m,pos_y_m,pos_z_m,pitch_rad,cg_body_x_m,cg_body_y_m,cg_body_z_m,nozzle_angle_rad,thrust_normalized
2.6553,4.189919,0,52.11728,1.34969,5.54583,0,0,1.462446e-05,0.8647204
2.672,4.293952,0,52.7747,1.348852,5.545938,0,0,1.439752e-05,0.8647311
2.6887,4.399529,0,53.43622,1.348026,5.546046,0,0,1.417452e-05,0.8647419
2.7054,4.506653,0,54.10183,1.347213,5.546155,0,0,1.39551e-05,0.8647527
2.7221,4.615332,0,54.77154,1.346413,5.546263,0,0,1.37385e-05,0.8647636
2.7388,4.72557,0,55.44535,1.345625,5.546371,0,0,1.352571e-05,0.8647746
2.7555,4.837374,0,56.12325,1.344849,5.54648,0,0,1.33161e-05,0.8647856
2.7722,4.950749,0,56.80524,1.344085,5.546587,0,0,1.31094e-05,0.8647967
2.7889,5.065701,0,57.49133,1.343333,5.546696,0,0,1.290609e-05,0.8648079
2.8056,5.182234,0,58.18152,1.342593,5.546804,0,0,1.270614e-05,0.8648191
2.8223,5.300354,0,58.8758,1.341864,5.546912,0,0,1.250864e-05,0.8648304
2.839,5.420067,0,59.57418,1.341146,5.547019,0,0,1.231466e-05,0.8648418
2.8557,5.541378,0,60.27665,1.340439,5.547128,0,0,1.21237e-05,0.8648532
2.8724,5.664291,0,60.98321,1.339744,5.547235,0,0,1.193525e-05,0.8648647
2.8891,5.788812,0,61.69387,1.339059,5.547343,0,0,1.175019e-05,0.8648763
2.9058,5.914946,0,62.40863,1.338384,5.547451,0,0,1.156779e-05,0.8648879
2.9225,6.042697,0,63.12748,1.33772,5.547558,0,0,1.138801e-05,0.8648996
2.9392,6.172071,0,63.85043,1.337066,5.547666,0,0,1.121123e-05,0.8649113
2.9559,6.303071,0,64.57747,1.336423,5.547774,0,0,1.103724e-05,0.8649232
2.9726,6.435703,0,65.3086,1.335789,5.547881,0,0,1.086554e-05,0.864935
2.9893,6.569972,0,66.04383,1.335165,5.547989,0,0,1.069689e-05,0.864947
3.006,6.705881,0,66.78316,1.334551,5.548096,0,0,1.053077e-05,0.8649591
3.0227,6.843436,0,67.52658,1.333946,5.548204,0,0,1.036695e-05,0.8649711
3.0394,6.98264,0,68.2741,1.33335,5.548311,0,0,1.020608e-05,0.8649833
3.0561,7.123498,0,69.02571,1.332764,5.548419,0,0,1.004742e-05,0.8649955
3.0728,7.266015,0,69.78142,1.332187,5.548526,0,0,9.891183e-06,0.8650078
3.0895,7.410194,0,70.54122,1.331619,5.548633,0,0,9.737523e-06,0.8650202
3.1062,7.55604,0,71.30512,1.331059,5.54874,0,0,9.586188e-06,0.8650326
3.1229,7.703557,0,72.07312,1.330508,5.548847,0,0,9.437005e-06,0.865045
3.1396,7.852748,0,72.84521,1.329966,5.548954,0,0,9.290437e-06,0.8650576
3.1563,8.003618,0,73.6214,1.329432,5.549061,0,0,9.145978e-06,0.8650702
3.173,8.156171,0,74.40169,1.328906,5.549168,0,0,9.003647e-06,0.8650829
3.1897,8.31041,0,75.18607,1.328388,5.549275,0,0,8.863848e-06,0.8650956
3.2064,8.466339,0,75.97455,1.327879,5.549382,0,0,8.72588e-06,0.8651084
3.2231,8.623963,0,76.76713,1.327377,5.549489,0,0,8.590167e-06,0.8651213
3.2398,8.783285,0,77.5638,1.326883,5.549595,0,0,8.456647e-06,0.8651342
3.2565,8.944307,0,78.36457,1.326397,5.549703,0,0,8.32503e-06,0.8651472
3.2732,9.107036,0,79.16944,1.325918,5.549809,0,0,8.195547e-06,0.8651603
3.2899,9.271472,0,79.97841,1.325446,5.549916,0,0,8.068142e-06,0.8651735
3.3066,9.437621,0,80.79147,1.324982,5.550022,0,0,7.942584e-06,0.8651867
3.3233,9.605485,0,81.60864,1.324525,5.550129,0,0,7.81894e-06,0.8651999
3.34,9.775068,0,82.42991,1.324075,5.550235,0,0,7.69748e-06,0.8652133
