time_s,pos_x_m,pos_y_m,pos_z_m,pitch_rad,alpha_rad,cg_body_x_m,cg_body_y_m,cg_body_z_m,nozzle_angle_rad,thrust_normalized,thrust_N,cp_from_nose_m,Fg_x_N,Fg_z_N,F_aero_x_N,F_aero_z_N,NormalForceAero_N,AxialForceAero_N,Drag_N,Lift_N
44.0166666666667,31.0397877359793,0,3943.11539732316,1.57056918161109,0.00445526434591315,3.920465,0,0,-0.00141859846470831,0.917238882272278,25315.7931507149,1.3055092,-14103.0883431597,3.20344864908777,-923.963181946239,32.628589394774,32.628589394774,-923.963181946239,923.963181946239,32.628589394774
44.0333333333333,31.0562045669986,0,3946.62238384753,1.57056930793777,0.00445286139930199,3.920445,0,0,-0.00141887142068349,0.917277381693186,25316.8557347319,1.3055092,-14101.4381356767,3.20129242438911,-924.669451294753,32.6359187221366,32.6359187221366,-924.669451294753,924.669451294753,32.6359187221366
44.05,31.0726218331265,0,3950.13135859134,1.57056943401962,0.00445046003859399,3.920426,0,0,-0.00141914372736169,0.917315888702447,25317.9185281875,1.3055092,-14099.7879230204,3.19914006754602,-925.375768521959,32.6432344669785,32.6432344669785,-925.375768521959,925.375768521959,32.6432344669785
44.0666666666667,31.08903953363,0,3953.64232219671,1.57056955986125,0.00444806026661182,3.920407,0,0,-0.00141941542022241,0.917354403286755,25318.9815307144,1.3055092,-14098.1377051911,3.19699151237124,-926.082133072882,32.6505366540321,32.6505366540321,-926.082133072882,926.082133072882,32.6505366540321
44.0833333333333,31.1054576677669,0,3957.15527525818,1.57056968547451,0.0044456620937702,3.920388,0,0,-0.00141968654092615,0.917392925432615,25320.0447419402,1.3055092,-14096.4878812825,3.19484668091738,-926.788544204849,32.657825357941,32.657825357941,-926.788544204849,926.788544204849,32.657825357941
44.1,31.1218762348015,0,3960.67021839428,1.57056981083135,0.00444326549011383,3.920368,0,0,-0.00141995695240229,0.917431455126611,25321.1081614945,1.3055092,-14094.8372540152,3.19270569624159,-927.49500141262,32.6651003648975,32.6651003648975,-927.49500141262,927.49500141262,32.6651003648975
44.1166666666667,31.1382952340042,0,3964.18715224769,1.570569935951,0.00444087047339021,3.920349,0,0,-0.00142022678714835,0.917469992355411,25322.1717890093,1.3055092,-14093.1870206693,3.19056855731981,-928.201504024508,32.6723618052428,32.6723618052428,-928.201504024508,928.201504024508,32.6723618052428
44.1333333333333,31.1547146646368,0,3967.7060774135,1.57057006083203,0.00443847704044411,3.92033,0,0,-0.00142049600412611,0.917508537105492,25323.2356241116,1.3055092,-14091.5371812438,3.18843528299296,-928.908051418664,32.6796096582649,32.6796096582649,-928.908051418664,928.908051418664,32.6796096582649
44.15,31.171134525967,0,3971.22699451075,1.57057018546151,0.00443608517677319,3.92031,0,0,-0.00142076455262814,0.917547089363413,25324.2996664302,1.3055092,-14089.8865384634,3.18630578342209,-929.614642961254,32.6868438188782,32.6868438188782,-929.614642961254,929.614642961254,32.6868438188782
44.1666666666667,31.1875548172691,0,3974.74990418268,1.57057030984615,0.00443369488741219,3.920291,0,0,-0.0014210324816738,0.917585649115815,25325.3639155965,1.3055092,-14088.2370877861,3.18418041404769,-930.321278057018,32.6940643268243,32.6940643268243,-930.321278057018,930.321278057018,32.6940643268243
44.1833333333333,31.2039755378085,0,3978.27480702482,1.57057043398731,0.00443130617199149,3.920272,0,0,-0.00142129979172524,0.917624216349147,25326.4283712364,1.3055092,-14086.5864346649,3.18205861320719,-931.02795610087,32.7012711824215,32.7012711824215,-931.02795610087,931.02795610087,32.7012711824215
44.2,31.2203966868569,0,3981.80170365686,1.57057055788438,0.00442891902840601,3.920252,0,0,-0.00142156648279732,0.917662791049943,25327.4930329784,1.3055092,-14084.936973645,3.17994092923202,-931.734676407977,32.7084643700913,32.7084643700913,-931.734676407977,931.734676407977,32.7084643700913
44.2166666666667,31.2368182636921,0,3985.33059472246,1.57057068153914,0.00442653345671149,3.920233,0,0,-0.00142183255180108,0.917701373204814,25328.5579004529,1.3055092,-14083.2863101845,3.17782679535594,-932.441438394247,32.7156438934469,32.7156438934469,-932.441438394247,932.441438394247,32.7156438934469
44.2333333333333,31.2532402675832,0,3988.86148081774,1.57057080494121,0.00442414944495943,3.920214,0,0,-0.00142209795787265,0.917739962800187,25329.6229732852,1.3055092,-14081.6356415556,3.17571662664823,-933.148241424713,32.7228096662199,32.7228096662199,-933.148241424713,933.148241424713,32.7228096662199
44.25,31.2696626978056,0,3992.39436256288,1.57057092809987,0.00442176700067356,3.920195,0,0,-0.00142236273489563,0.917778559822567,25330.6882511029,1.3055092,-14079.9861650251,3.17361056128599,-933.855084906757,32.7299617472217,32.7299617472217,-933.855084906757,933.855084906757,32.7299617472217
44.2666666666667,31.2860855536411,0,3995.92924060216,1.57057105102136,0.00441938612869878,3.920176,0,0,-0.00142262693158494,0.91781716425854,25331.7537335357,1.3055092,-14078.3354860591,3.17150797045032,-934.561968127168,32.7371001710919,32.7371001710919,-934.561968127168,934.561968127168,32.7371001710919
44.2833333333333,31.3025088343625,0,3999.46611553213,1.57057117367938,0.00441700680088353,3.920156,0,0,-0.0014228903901668,0.917855776094504,25332.8194202083,1.3055092,-14076.6856001016,3.16940967250544,-935.268890563124,32.7442247353322,32.7442247353322,-935.268890563124,935.268890563124,32.7442247353322
44.3,31.3189325392492,0,4003.00498797352,1.57057129610665,0.00441462904845597,3.920137,0,0,-0.00142315332998444,0.917894395316938,25333.8853107475,1.3055092,-14075.0353098879,3.16731493636093,-935.97585153277,32.7513356714974,32.7513356714974,-935.97585153277,935.97585153277,32.7513356714974
44.3166666666667,31.3353566675865,0,4006.5458585712,1.57057141827894,0.00441225284554111,3.920118,0,0,-0.00142341555334764,0.917933021912403,25334.9514047823,1.3055092,-14073.3850145067,3.16522419152724,-936.682850405191,32.758432789401,32.758432789401,-936.682850405191,936.682850405191,32.758432789401
44.3333333333333,31.3517812186512,0,4010.0887279222,1.57057154020557,0.00440987819994283,3.920099,0,0,-0.00142367718368001,0.917971655867269,25336.0177019366,1.3055092,-14071.7347139584,3.16313730547148,-937.389886551108,32.7655161492579,32.7655161492579,-937.389886551108,937.389886551108,32.7655161492579
44.35,31.3682061917263,0,4013.63359664777,1.57057166190023,0.0044075051235511,3.92008,0,0,-0.00142393821330977,0.91801029716799,25337.0842018365,1.3055092,-14070.0844082435,3.16105408475764,-938.096959341054,32.7725858415647,32.7725858415647,-938.096959341054,938.096959341054,32.7725858415647
44.3666666666667,31.3846315861009,0,4017.18046539335,1.57057178333105,0.00440513358290127,3.920061,0,0,-0.00142419851054669,0.918048945801099,25338.1509041103,1.3055092,-14068.434097362,3.15897497615494,-938.804068209163,32.7796416215417,32.7796416215417,-938.804068209163,938.804068209163,32.7796416215417
