time_s,pos_x_m,pos_y_m,pos_z_m,pitch_rad,cg_body_x_m,cg_body_y_m,cg_body_z_m,nozzle_angle_rad
2.99,9.89992,0,82.90171,1.152079,5.547993,0,0,0.004234374
3,10.03869,0,83.44891,1.151019,5.548058,0,0,0.004265533
3.01,10.17869,0,83.99781,1.149968,5.548122,0,0,0.004296491
3.02,10.3199,0,84.54839,1.148927,5.548186,0,0,0.004327248
3.03,10.46235,0,85.10066,1.147896,5.548251,0,0,0.004357802
3.04,10.60602,0,85.65461,1.146874,5.548315,0,0,0.004388152
3.05,10.75093,0,86.21025,1.145862,5.548379,0,0,0.004418297
3.06,10.89707,0,86.76757,1.144859,5.548443,0,0,0.004448235
3.07,11.04445,0,87.32658,1.143865,5.548508,0,0,0.004477967
3.08,11.19308,0,87.88725,1.142881,5.548572,0,0,0.00450749
3.09,11.34295,0,88.44962,1.141905,5.548636,0,0,0.004536804
3.1,11.49406,0,89.01366,1.140939,5.5487,0,0,0.004565908
3.11,11.64643,0,89.57938,1.139982,5.548765,0,0,0.004594801
3.12,11.80005,0,90.14678,1.139033,5.548829,0,0,0.004623481
3.13,11.95493,0,90.71586,1.138094,5.548893,0,0,0.004651948
3.14,12.11106,0,91.28661,1.137163,5.548957,0,0,0.0046802
3.15,12.26846,0,91.85902,1.13624,5.549021,0,0,0.004708237
3.16,12.42712,0,92.43312,1.135327,5.549085,0,0,0.004736058
3.17,12.58705,0,93.00889,1.134421,5.549149,0,0,0.004763661
3.18,12.74825,0,93.58633,1.133524,5.549213,0,0,0.004791046
3.19,12.91072,0,94.16544,1.132636,5.549277,0,0,0.004818214
3.2,13.07446,0,94.74622,1.131755,5.549341,0,0,0.00484516
3.21,13.23948,0,95.32867,1.130883,5.549405,0,0,0.004871886
3.22,13.40578,0,95.91278,1.130019,5.549469,0,0,0.00489839
3.23,13.57337,0,96.49857,1.129163,5.549533,0,0,0.004924671
3.24,13.74224,0,97.08601,1.128314,5.549597,0,0,0.004950729
3.25,13.91239,0,97.67513,1.127474,5.549661,0,0,0.004976564
3.26,14.08384,0,98.2659,1.126642,5.549725,0,0,0.005002172
3.27,14.25658,0,98.85835,1.125817,5.549789,0,0,0.005027555
3.28,14.43061,0,99.45245,1.125,5.549853,0,0,0.005052712
3.29,14.60594,0,100.0482,1.12419,5.549916,0,0,0.00507764
3.3,14.78257,0,100.6456,1.123388,5.54998,0,0,0.005102341
3.31,14.96051,0,101.2447,1.122593,5.550044,0,0,0.005126813
3.32,15.13974,0,101.8455,1.121806,5.550108,0,0,0.005151054
