time_s,pos_x_m,pos_y_m,pos_z_m,pitch_rad,cg_body_x_m,cg_body_y_m,cg_body_z_m,nozzle_angle_rad
1.4,-2.181168e-10,0,4.317703,1.570796,5.537549,0,0,1.440876e-14
1.41,-2.206023e-10,0,4.38009,1.570796,5.537616,0,0,1.458695e-14
1.42,-2.23095e-10,0,4.442931,1.570796,5.537683,0,0,1.482907e-14
1.43,-2.255948e-10,0,4.506227,1.570796,5.53775,0,0,1.516073e-14
1.44,-2.281016e-10,0,4.569977,1.570796,5.537817,0,0,1.548627e-14
1.45,-2.306152e-10,0,4.634183,1.570796,5.537884,0,0,1.57503e-14
1.46,-2.331356e-10,0,4.698843,1.570796,5.537951,0,0,1.599681e-14
1.47,-2.356626e-10,0,4.763958,1.570796,5.538018,0,0,1.62811e-14
1.48,-2.381961e-10,0,4.829529,1.570796,5.538085,0,0,1.659464e-14
1.49,-2.40736e-10,0,4.895555,1.570796,5.538152,0,0,1.689602e-14
1.5,-2.432822e-10,0,4.962038,1.570796,5.538218,0,0,1.717484e-14
1.51,-2.458344e-10,0,5.028975,1.570796,5.538285,0,0,1.745546e-14
1.52,-2.483927e-10,0,5.096368,1.570796,5.538352,0,0,1.775459e-14
1.53,-2.509568e-10,0,5.164218,1.570796,5.538419,0,0,1.806193e-14
1.54,-2.535267e-10,0,5.232524,1.570796,5.538486,0,0,1.836192e-14
1.55,-2.561023e-10,0,5.301286,1.570796,5.538552,0,0,1.865557e-14
1.56,-2.586833e-10,0,5.370504,1.570796,5.538619,0,0,1.895396e-14
1.57,-2.612696e-10,0,5.440179,1.570796,5.538686,0,0,1.926065e-14
1.58,-2.638613e-10,0,5.510311,1.570796,5.538753,0,0,1.95694e-14
1.59,-2.66458e-10,0,5.5809,1.570796,5.538819,0,0,1.987526e-14
1.6,-2.690597e-10,0,5.651946,1.570796,5.538886,0,0,2.01806e-14
1.61,-2.716663e-10,0,5.723449,1.570796,5.538953,0,0,2.048973e-14
1.62,-2.742777e-10,0,5.79541,1.570796,5.539019,0,0,2.080263e-14
1.63,-2.768936e-10,0,5.867828,1.570796,5.539086,0,0,2.11163e-14
1.64,-2.79514e-10,0,5.940703,1.570796,5.539153,0,0,2.142957e-14
1.65,-2.821388e-10,0,6.014037,1.570796,5.539219,0,0,2.174402e-14
1.66,-2.847678e-10,0,6.087829,1.570796,5.539286,0,0,2.206103e-14
1.67,-2.874008e-10,0,6.162078,1.570796,5.539352,0,0,2.238002e-14
1.68,-2.900379e-10,0,6.236786,1.570796,5.539419,0,0,2.269978e-14
1.69,-2.926787e-10,0,6.311952,1.570796,5.539485,0,0,2.302019e-14
1.7,-2.953233e-10,0,6.387577,1.570796,5.539552,0,0,2.334205e-14
1.71,-2.979714e-10,0,6.463661,1.570796,5.539618,0,0,2.366568e-14
1.72,-3.00623e-10,0,6.540203,1.570796,5.539685,0,0,2.399063e-14
1.73,-3.032779e-10,0,6.617204,1.570796,5.539752,0,0,2.431649e-14
1.74,-3.059359e-10,0,6.694665,1.570796,5.539818,0,0,2.464336e-14
1.75,-3.08597e-10,0,6.772584,1.570796,5.539884,0,0,2.497154e-14
1.76,-3.11261e-10,0,6.850964,1.570796,5.53995,0,0,2.530104e-14
1.77,-3.139277e-10,0,6.929802,1.570796,5.540017,0,0,2.563163e-14
1.78,-3.165972e-10,0,7.009101,1.570796,5.540083,0,0,2.59632e-14
1.79,-3.192691e-10,0,7.08886,1.570796,5.54015,0,0,2.629572e-14
1.8,-3.219434e-10,0,7.169078,1.570796,5.540216,0,0,2.662941e-14
1.81,-3.246199e-10,0,7.249757,1.570796,5.540282,0,0,2.696424e-14
1.82,-3.272985e-10,0,7.330896,1.570796,5.540349,0,0,2.729991e-14
1.83,-3.299792e-10,0,7.412495,1.570796,5.540415,0,0,2.763653e-14
1.84,-3.326621e-10,0,7.494555,1.570796,5.540481,0,0,2.771727e-14
1.85,-3.353485e-10,0,7.577076,1.570796,5.540547,0,0,2.81694e-14
1.86,-3.380384e-10,0,7.660058,1.570796,5.540614,0,0,2.833009e-14
1.87,-3.407317e-10,0,7.743501,1.570796,5.54068,0,0,2.850607e-14
1.88,-3.434283e-10,0,7.827405,1.570796,5.540746,0,0,2.889132e-14
1.89,-3.461281e-10,0,7.91177,1.570796,5.540812,0,0,2.93458e-14
1.9,-3.48831e-10,0,7.996597,1.570796,5.540879,0,0,2.968235e-14
1.91,-3.515369e-10,0,8.081886,1.570796,5.540945,0,0,2.992812e-14
1.92,-3.542457e-10,0,8.167636,1.570796,5.541011,0,0,3.022339e-14
1.93,-3.569574e-10,0,8.253849,1.570796,5.541077,0,0,3.060142e-14
1.94,-3.596719e-10,0,8.340524,1.570796,5.541143,0,0,3.097712e-14
1.95,-3.62389e-10,0,8.42766,1.570796,5.541209,0,0,3.129584e-14
1.96,-3.651087e-10,0,8.515259,1.570796,5.541276,0,0,3.159629e-14
1.97,-3.678308e-10,0,8.603321,1.570796,5.541341,0,0,3.193073e-14
1.98,-3.705554e-10,0,8.691845,1.570796,5.541408,0,0,3.229178e-14
1.99,-3.732823e-10,0,8.780832,1.570796,5.541473,0,0,3.264019e-14
2,-3.760113e-10,0,8.870283,1.570796,5.54154,0,0,3.296655e-14
2.01,-3.976592e-10,0,8.960196,1.570796,5.541605,0,0,2.944579e-07
2.02,-5.059045e-10,0,9.050573,1.570796,5.541672,0,0,1.35936e-06
2.03,-7.140549e-10,0,9.141414,1.570796,5.541738,0,0,3.296826e-06
2.04,-9.406642e-10,0,9.232717,1.570796,5.541804,0,0,6.242602e-06
2.05,-9.80856e-10,0,9.324485,1.570796,5.54187,0,0,1.03753e-05
2.06,-4.709363e-10,0,9.416716,1.570796,5.541935,0,0,1.594499e-05
2.07,1.156444e-09,0,9.509411,1.570795,5.542001,0,0,2.329445e-05
2.08,4.729266e-09,0,9.602571,1.570795,5.542068,0,0,3.286839e-05
2.09,1.14079e-08,0,9.696195,1.570794,5.542133,0,0,4.523026e-05
2.1,2.277515e-08,0,9.790282,1.570793,5.542199,0,0,6.110015e-05
2.11,4.094958e-08,0,9.884835,1.570791,5.542265,0,0,8.14082e-05
2.12,6.872844e-08,0,9.979853,1.57079,5.542331,0,0,0.0001073584
2.13,1.097679e-07,0,10.07533,1.570787,5.542397,0,0,0.0001405135
2.14,1.688105e-07,0,10.17128,1.570784,5.542462,0,0,0.0001829249
2.15,2.519722e-07,0,10.26769,1.57078,5.542528,0,0,0.0002373316
2.16,3.671073e-07,0,10.36457,1.570774,5.542594,0,0,0.000307466
2.17,5.242725e-07,0,10.46191,1.570767,5.54266,0,0,0.000398538
2.18,7.363218e-07,0,10.55972,1.570758,5.542725,0,0,0.0005180423
2.19,1.019668e-06,0,10.65799,1.570746,5.542791,0,0,0.0006771723
2.2,1.39526e-06,0,10.75673,1.57073,5.542857,0,0,0.0008934269
2.21,1.889811e-06,0,10.85594,1.570709,5.542922,0,0,0.001195735
2.22,2.537247e-06,0,10.9556,1.570681,5.542988,0,0,0.001635348
2.23,3.380075e-06,0,11.05574,1.570641,5.543054,0,0,0.00231099
2.24,4.469403e-06,0,11.15634,1.570583,5.543119,0,0,0.003431623
2.25,5.859909e-06,0,11.25741,1.570492,5.543185,0,0,0.005472627
2.26,7.605618e-06,0,11.35894,1.570339,5.543251,0,0,0.009339786
2.27,9.900505e-06,0,11.46094,1.570085,5.543316,0,0,0.0149354
2.28,1.345022e-05,0,11.56341,1.569731,5.543382,0,0,0.01974596
2.29,1.926607e-05,0,11.66634,1.569303,5.543447,0,0,0.02324906
2.3,2.832191e-05,0,11.76973,1.56882,5.543513,0,0,0.02604928
2.31,4.15558e-05,0,11.87359,1.56829,5.543578,0,0,0.02850778
2.32,5.991648e-05,0,11.97792,1.56772,5.543643,0,0,0.03078027
2.33,8.438588e-05,0,12.08272,1.567111,5.543709,0,0,0.03293344
2.34,0.0001159856,0,12.18797,1.566465,5.543775,0,0,0.03500348
2.35,0.0001557801,0,12.2937,1.565786,5.54384,0,0,0.03700586
2.36,0.0002048773,0,12.39989,1.565073,5.543905,0,0,0.03894493
2.37,0.0002644282,0,12.50654,1.564329,5.543971,0,0,0.04081836
2.38,0.0003356255,0,12.61366,1.563556,5.544036,0,0,0.04261966
2.39,0.0004197014,0,12.72125,1.562755,5.544102,0,0,0.04433998
2.4,0.0005179248,0,12.8293,1.561928,5.544167,0,0,0.04596914
2.41,0.0006315988,0,12.93782,1.561077,5.544232,0,0,0.04749613
2.42,0.0007620569,0,13.0468,1.560205,5.544298,0,0,0.04890946
2.43,0.0009106593,0,13.15625,1.559314,5.544363,0,0,0.05019756
2.44,0.001078789,0,13.26616,1.558408,5.544428,0,0,0.05134923
2.45,0.001267846,0,13.37653,1.557488,5.544494,0,0,0.05235387
2.46,0.001479245,0,13.48738,1.556558,5.544559,0,0,0.05320159
2.47,0.00171441,0,13.59868,1.555623,5.544624,0,0,0.05388348
2.48,0.001974768,0,13.71045,1.554684,5.544689,0,0,0.05439175
2.49,0.002261741,0,13.82269,1.553745,5.544755,0,0,0.05471987
2.5,0.002576745,0,13.93539,1.552811,5.54482,0,0,0.05487957
2.51,0.002921168,0,14.04856,1.551882,5.544885,0,0,0.05502096
2.52,0.003296375,0,14.1622,1.550958,5.54495,0,0,0.05516045
2.53,0.003703726,0,14.27629,1.55004,5.545015,0,0,0.05529756
2.54,0.004144573,0,14.39086,1.549127,5.54508,0,0,0.05543528
2.55,0.00462026,0,14.50589,1.54822,5.545146,0,0,0.05557476
2.56,0.005132124,0,14.62139,1.547318,5.54521,0,0,0.05571435
2.57,0.005681494,0,14.73735,1.54642,5.545276,0,0,0.05585284
2.58,0.006269692,0,14.85378,1.545529,5.545341,0,0,0.05599096
2.59,0.006898033,0,14.97068,1.544642,5.545405,0,0,0.05612969
2.6,0.007567825,0,15.08804,1.543761,5.545471,0,0,0.05626886
2.61,0.008280367,0,15.20587,1.542884,5.545536,0,0,0.05640774
2.62,0.009036951,0,15.32417,1.542013,5.5456,0,0,0.05654625
2.63,0.009838865,0,15.44293,1.541147,5.545666,0,0,0.05668484
2.64,0.01068739,0,15.56216,1.540286,5.545731,0,0,0.05682367
2.65,0.01158379,0,15.68186,1.53943,5.545795,0,0,0.0569625
2.66,0.01252933,0,15.80202,1.538579,5.54586,0,0,0.05710115
2.67,0.01352527,0,15.92266,1.537734,5.545925,0,0,0.05723971
2.68,0.01457287,0,16.04376,1.536893,5.54599,0,0,0.05737833
2.69,0.01567335,0,16.16532,1.536057,5.546055,0,0,0.05751698
2.7,0.01682797,0,16.28736,1.535226,5.54612,0,0,0.05765556
2.71,0.01803795,0,16.40986,1.534399,5.546185,0,0,0.05779403
2.72,0.01930451,0,16.53283,1.533578,5.546249,0,0,0.05793247
2.73,0.02062886,0,16.65627,1.532762,5.546314,0,0,0.0580709
2.74,0.02201223,0,16.78017,1.53195,5.546379,0,0,0.05820927
2.75,0.0234558,0,16.90455,1.531143,5.546444,0,0,0.05834756
2.76,0.02496077,0,17.02939,1.530341,5.546509,0,0,0.05848576
2.77,0.02652834,0,17.1547,1.529544,5.546574,0,0,0.05862391
2.78,0.02815968,0,17.28048,1.528751,5.546638,0,0,0.05876199
2.79,0.02985597,0,17.40673,1.527963,5.546703,0,0,0.05889998
2.8,0.03161837,0,17.53345,1.52718,5.546768,0,0,0.05903786
2.81,0.03344806,0,17.66063,1.526402,5.546832,0,0,0.05917565
2.82,0.03534618,0,17.78829,1.525628,5.546897,0,0,0.05931334
2.83,0.03731388,0,17.91641,1.524859,5.546961,0,0,0.05945093
2.84,0.03935231,0,18.045,1.524094,5.547026,0,0,0.0595884
2.85,0.0414626,0,18.17406,1.523334,5.547091,0,0,0.05972574
2.86,0.04364588,0,18.30359,1.522579,5.547155,0,0,0.05986296
2.87,0.04590327,0,18.43359,1.521828,5.54722,0,0,0.06000004
2.88,0.04823589,0,18.56406,1.521081,5.547285,0,0,0.06013697
2.89,0.05064486,0,18.695,1.520339,5.547349,0,0,0.06027376
2.9,0.05313126,0,18.82641,1.519602,5.547413,0,0,0.06041038
2.91,0.05569621,0,18.95829,1.518869,5.547478,0,0,0.06054683
2.92,0.05834078,0,19.09064,1.518141,5.547543,0,0,0.06068311
2.93,0.06106608,0,19.22345,1.517416,5.547607,0,0,0.06081921
2.94,0.06387316,0,19.35674,1.516697,5.547671,0,0,0.06095511
2.95,0.06676313,0,19.4905,1.515981,5.547736,0,0,0.06109081
2.96,0.06973702,0,19.62473,1.51527,5.5478,0,0,0.06122629
2.97,0.0727959,0,19.75942,1.514564,5.547864,0,0,0.06136156
2.98,0.07594083,0,19.89459,1.513862,5.547929,0,0,0.0614966
2.99,0.07917285,0,20.03023,1.513164,5.547993,0,0,0.06163139
3,0.08249301,0,20.16634,1.51247,5.548058,0,0,0.06176594
3.01,0.08590234,0,20.30292,1.51178,5.548122,0,0,0.06189656
3.02,0.08940186,0,20.43997,1.511094,5.548186,0,0,0.06202576
3.03,0.0929926,0,20.57749,1.510411,5.548251,0,0,0.06215855
3.04,0.09667558,0,20.71548,1.509731,5.548315,0,0,0.06229347
3.05,0.1004518,0,20.85394,1.509055,5.548379,0,0,0.06242611
3.06,0.1043223,0,20.99288,1.508382,5.548443,0,0,0.06255621
3.07,0.108288,0,21.13228,1.507712,5.548508,0,0,0.06268667
3.08,0.1123501,0,21.27216,1.507046,5.548572,0,0,0.06281834
3.09,0.1165093,0,21.41251,1.506382,5.548636,0,0,0.06294954
3.1,0.1207669,0,21.55333,1.505722,5.5487,0,0,0.06307921
3.11,0.1251236,0,21.69462,1.505066,5.548765,0,0,0.06320819
3.12,0.1295806,0,21.83638,1.504412,5.548829,0,0,0.06333736
3.13,0.1341388,0,21.97861,1.503762,5.548893,0,0,0.06346638
3.14,0.1387991,0,22.12132,1.503115,5.548957,0,0,0.06359453
3.15,0.1435626,0,22.26449,1.502471,5.549021,0,0,0.06372185
3.16,0.1484301,0,22.40814,1.50183,5.549085,0,0,0.06384879
3.17,0.1534027,0,22.55226,1.501193,5.549149,0,0,0.06397543
3.18,0.1584813,0,22.69685,1.500559,5.549213,0,0,0.06410145
3.19,0.1636668,0,22.84191,1.499928,5.549277,0,0,0.06422669
3.2,0.1689603,0,22.98745,1.4993,5.549341,0,0,0.0643513
3.21,0.1743625,0,23.13345,1.498675,5.549405,0,0,0.06447539
3.22,0.1798745,0,23.27993,1.498053,5.549469,0,0,0.06459885
3.23,0.1854972,0,23.42688,1.497435,5.549533,0,0,0.06472156
3.24,0.1912315,0,23.5743,1.496819,5.549597,0,0,0.06484353
3.25,0.1970783,0,23.7222,1.496207,5.549661,0,0,0.0649648
3.26,0.2030386,0,23.87057,1.495598,5.549725,0,0,0.06508534
3.27,0.2091132,0,24.0194,1.494992,5.549789,0,0,0.0652051
3.28,0.2153032,0,24.16871,1.494389,5.549853,0,0,0.06532402
3.29,0.2216092,0,24.3185,1.49379,5.549916,0,0,0.0654421
3.3,0.2280324,0,24.46875,1.493193,5.54998,0,0,0.06555934
3.31,0.2345735,0,24.61948,1.492599,5.550044,0,0,0.06567568
3.32,0.2412335,0,24.77068,1.492009,5.550108,0,0,0.06579109
3.33,0.2480131,0,24.92235,1.491422,5.550172,0,0,0.06590553
3.34,0.2549134,0,25.0745,1.490837,5.550235,0,0,0.06601899
3.35,0.2619353,0,25.22711,1.490256,5.550299,0,0,0.06613144
3.36,0.2690794,0,25.3802,1.489678,5.550363,0,0,0.06624281
3.37,0.2763468,0,25.53377,1.489103,5.550426,0,0,0.0663531
3.38,0.2837383,0,25.6878,1.488531,5.55049,0,0,0.06646224
3.39,0.2912547,0,25.84231,1.487963,5.550554,0,0,0.06657021
